5998307^^2026-09-01|Singida Black Stars|Namungo FC|3 - 2^^24~A~OG~Benjamin Tanimu;36~H~G~Mohamed Damaro;51~A~PEN~Gabriel Rogers;56~H~G~Sagasse Nzaou;72~H~G~Marcel Canadi
5998318^^2026-09-13|Pamba Jiji|TRA United|1 - 3^^5~A~G~Elijah Ani;8~A~OG~Nonyem Okorocha;39~A~G~Emmanuel Mwanengo;77~H~G~Abdulkarim Iddy
5998319^^2026-09-13|Kagera Sugar|Fountain Gate FC|1 - 1^^27~H~G~Jesto Masanja;34~A~OG~Andrew Vincent Chikupe
5998314^^2026-09-16|Azam FC|Simba SC|0 - 2^^59~A~G~Rushine De Reuck;68~A~G~Clatous Chama
