KnYhQibN^^2020-07-18|Young Africans|Mwadui|1-1^^27~H~G~salum-feisul;56~A~G~mbegu-yahya
UcutTgE4^^2020-07-18|Biashara Mara United|Coastal Union|1-1^^7~H~G~chombo-ramadhan;90+2~A~G~lyanga-ayubu
xOrlRXrH^^2020-07-18|Mtibwa Sugar|Kinondoni MC|0-1^^56~A~G~kapera-ramadhan
W4QzWeUo^^2020-07-18|Namungo|Tanzania Prisons|1-1^^43~H~G~manyama-edward;64~A~G~mbangula-samsoni
AePvVFqh^^2020-07-18|Ndanda|Mbeya City|0-1^^49~A~G~madeleke-samson
j7txUZbb^^2020-07-18|Ruvu Shooting|Singida United|0-2^^13~A~G~arigumaho-seiri;60~A~G~hashim-ramadhani
I1xg7Cio^^2020-07-16|Simba|Mbao|2-3^^5~A~G~rashid-rajabu;34~H~G~kagere-meddie;45~A~G~waziri-junior;51~H~G~athuman-miraji;58~A~G~john-jordan
fLS3T28m^^2020-07-15|Young Africans|Singida United|3-1^^34~H~G~godfrey-paul;38~H~G~ngassa-mrisho;45+2~A~G~sey-stephen;69~H~G~ghislain-yikpe
O0KKPK7C^^2020-07-15|JKT Tanzania|Alliance|1-1^^36~A~G~richard-david;90+3~H~G~adam-adam-omar
GzHCRtw0^^2020-07-15|Mtibwa Sugar|Azam|1-0^^38~H~G~rashid-issa
xpI8SMNg^^2020-07-15|Namungo|Mbeya City|1-0^^46~H~G~katonda-abeid
veNYYOpQ^^2020-07-14|Biashara Mara United|Polisi Tanzania|0-1^^50~A~G~okorai-erick
dzA0Urgs^^2020-07-14|Lipuli|Kinondoni MC|2-0^^55~H~G~hassan-roei;62~H~G~luyungu-paul
8jkNGPOs^^2020-07-10|Mbeya City|Polisi Tanzania|2-1^^26~A~G~stambuli-shabani;36~H~G~rolland-msonjo;89~H~G~mapunda-peter
pdtrC1wD^^2020-07-09|Alliance|Lipuli|2-0^^32~H~G~richard-david;61~H~G~vicent-sameer
OnunBLhJ^^2020-07-09|Tanzania Prisons|Coastal Union|1-2^^44~A~G~shaban-hamis;53~A~G~shaban-hamis;90+2~H~G~mkandala-cleophace
xWxzEN80^^2020-07-08|Azam|Mwadui|1-0^^70~H~G~simchimba-andrew
jZtvDsO6^^2020-07-08|Kagera Sugar|Young Africans|0-1^^79~A~G~morrison-bernard
f7mVE3gf^^2020-07-08|Kinondoni MC|Singida United|2-0^^39~H~G~ilanfya-charles;85~H~G~samata-mohamed
AF9nNRoE^^2020-07-08|Mbao|Mtibwa Sugar|1-0^^64~H~G~waziri-junior
dCL4br9D^^2020-07-06|Mbeya City|Coastal Union|3-1^^4~H~G~chidiebere-abasalim;35~H~G~kibingu-rehani;69~A~G~mohamed-ibrahim;87~H~G~mapunda-peter
0pSe04v1^^2020-07-05|Azam|Singida United|7-0^^2~H~G~seleman-iddi;13~H~G~seleman-iddi;41~H~OG~natley-david;44~H~G~chirwa-aubrey;54~H~G~chirwa-aubrey;56~H~G~chirwa-aubrey;62~H~G~chirwa-aubrey
ILM0aOg7^^2020-07-05|Alliance|Mtibwa Sugar|1-1^^1~H~OG~joseph-henry;10~A~G~kihimbwa-salum
2kp998HE^^2020-07-04|Kagera Sugar|Ruvu Shooting|1-1^^2~H~G~kapama-nassoro;15~A~G~sadat-mohamed
AFmH7nnR^^2020-07-04|Mbao|Lipuli|2-0^^45~H~G~waziri-junior;52~H~G~waziri-junior
Obo5Al28^^2020-07-04|Namungo|JKT Tanzania|1-0^^36~H~G~katonda-abeid
f1lbYlfA^^2020-06-28|Mbao|Polisi Tanzania|1-0^^65~H~G~waziri-junior
f54aDmIp^^2020-06-27|Alliance|Coastal Union|1-0^^47~H~G~luseke-martin
MBdoyiAi^^2020-06-27|Biashara Mara United|Azam|1-1^^50~A~G~domayo-frank;90~H~G~kabeja-gershon
SEn6WSOM^^2020-06-27|Kagera Sugar|Kinondoni MC|1-1^^22~A~G~hilary-abdul;40~H~G~mhilu-yussuf
02ekzBPc^^2020-06-27|Mbeya City|JKT Tanzania|2-0^^37~H~G~mapunda-peter;90~H~G~shigala-patson
Ye33C7Xj^^2020-06-27|Mwadui|Mtibwa Sugar|1-0^^56~H~G~kiango-wallace
zLNSI9fN^^2020-06-27|Ruvu Shooting|Namungo|1-1^^18~A~G~katonda-abeid;30~H~G~patrick-w
lORWHT9T^^2020-06-27|Young Africans|Ndanda|3-2^^5~H~G~kaseke-deus;10~A~G~hamis-abdul;14~A~G~mponda-omary;45+1~H~G~kaseke-deus;72~H~G~ngassa-mrisho
MFvtlceE^^2020-06-24|Young Africans|Namungo|2-2^^52~A~G~manyama-edward;70~A~G~manyama-edward;80~H~G~molinga-david;90+5~H~G~molinga-david
WQBmr77e^^2020-06-24|Alliance|Polisi Tanzania|1-1^^51~H~G~luseke-martin;80~A~G~biswita-pius
QmBisRM1^^2020-06-24|Biashara Mara United|Kinondoni MC|4-0^^36~H~G~omary-jumanne-omary;68~H~G~atupele-green;72~H~G~atupele-green;90+1~H~G~atupele-green
viFetox8^^2020-06-24|Kagera Sugar|Azam|1-0^^31~H~G~mhilu-yussuf
rPuxkwt8^^2020-06-24|Mbeya City|Simba|0-2^^5~A~G~bocco-john;55~A~G~bocco-john
W4zDVTNk^^2020-06-23|Mbao|Coastal Union|1-0^^7~H~G~john-jordan
ETPHUmwd^^2020-06-23|Mwadui|Lipuli|3-0^^26~H~OG~isihaka-kauju;66~H~G~kiango-wallace;84~H~G~ommary-daga
KQG7iBp9^^2020-06-23|Singida United|Mtibwa Sugar|1-3^^7~A~G~bogere-boban-zirintusa;24~A~G~bogere-boban-zirintusa;63~A~G~msuya-riphat;87~H~G~hashim-ramadhani
2k6CjVaF^^2020-06-23|Tanzania Prisons|JKT Tanzania|2-2^^16~A~G~aidan-michael;47~H~G~buha-adilly;68~A~G~rashid-mohamed;83~H~G~juma-jeremiah
UuAF8rzp^^2020-06-20|JKT Tanzania|Singida United|2-0^^11~H~G~musa-said;61~H~G~musa-hafidh
n9pZcHkr^^2020-06-20|Kinondoni MC|Ruvu Shooting|2-1^^27~H~G~ilanfya-charles;53~A~G~enock-graham;64~H~G~mvuyekule-emmanuel
C4aK72kj^^2020-06-20|Mbeya City|Alliance|0-1^^19~A~G~nyangi-juma
jebO6M4d^^2020-06-20|Namungo|Kagera Sugar|2-0^^14~H~G~manyanya-hashim;77~H~G~lusajo-reliants
vBi6V5sc^^2020-06-20|Ndanda|Biashara Mara United|1-0^^90~H~G~hamis-abdul
I1jAUPd3^^2020-06-20|Polisi Tanzania|Lipuli|1-1^^50~H~G~majogoro-baraka;63~A~G~seif-abdallah
Ie124wn6^^2020-06-20|Simba|Mwadui|3-0^^9~H~G~dilunga-hassan;21~H~OG~samson-augustino;58~H~G~bocco-john
WQBuvDqJ^^2020-06-17|JKT Tanzania|Young Africans|1-1^^36~H~G~aidan-michael;76~A~G~sibomana-patrick
K8aUtFa0^^2020-06-14|Azam|Mbao|2-0^^49~H~G~djodi-richard;90+3~H~G~chilunda-shaban
UJ6HqHFs^^2020-06-14|Simba|Ruvu Shooting|1-1^^11~H~G~kichuya-shiza;37~A~G~maganga-fully
SAKklc7Q^^2020-06-13|Coastal Union|Namungo|2-2^^3~A~G~makanga-george;17~A~G~katonda-abeid;53~H~G~issa-abshehe;59~H~G~masoud-hanc
WrRtjJxE^^2020-06-13|Mwadui|Young Africans|0-1^^6~A~G~balama-mapinduzi
vqs0Rq0p^^2020-03-14|Lipuli|Kagera Sugar|0-1^^78~A~G~abdul-swamad-kassim
YsOjl77c^^2020-03-14|Singida United|Mbeya City|2-1^^15~A~G~kapeta-mohames;71~H~G~mambo-erick;81~H~G~elinyesia-sumbi
