fXWiO5eB^^2020-07-26|Alliance|Namungo|3-2^^2~H~G~?;8~A~G~?;24~H~G~?;63~A~G~?;64~H~G~?
nL8IvRuh^^2020-07-26|Coastal Union|JKT Tanzania|0-1^^79~A~G~?
zsu0MqQN^^2020-07-26|Kinondoni MC|Mbeya City|0-3^^68~A~G~kibingu-rehani;88~A~G~chidiebere-abasalim;90+4~A~G~chidiebere-abasalim
xA1VyPPA^^2020-07-26|Lipuli|Young Africans|0-1^^39~A~G~molinga-david
xdMdNPAH^^2020-07-26|Mbao|Ndanda|2-0^^18~H~G~waziri-junior;66~H~G~john-jordan
tr8Mwoeb^^2020-07-26|Mtibwa Sugar|Ruvu Shooting|2-1^^35~A~G~sadat-mohamed;51~H~G~bogere-boban-zirintusa;65~H~G~bogere-boban-zirintusa
WCQVGNmo^^2020-07-26|Mwadui|Kagera Sugar|2-1^^20~H~G~?;30~H~G~?;90+1~A~G~?
U3v4L3uU^^2020-07-26|Singida United|Biashara Mara United|0-2^^20~A~G~deogratius-judika;27~A~OG~natley-david
foCQx5A4^^2020-07-26|Tanzania Prisons|Azam|2-2^^7~A~OG~nimkaza-jumanne;17~H~OG~sebo-dallah;40~H~G~mwihambi-vedastus;57~A~G~tigere-never
E9qUNJgM^^2020-07-23|Azam|Mbeya City|1-0^^63~H~G~domayo-frank
phz0IcHq^^2020-07-23|Alliance|Ndanda|2-2^^9~H~G~patrick-israel;16~A~G~hamis-abdul;51~A~G~mponda-omary;60~H~G~kiggi-martin
8WrYMw9S^^2020-07-23|Polisi Tanzania|JKT Tanzania|1-1^^32~H~G~anthony-matheo;60~A~G~songo-edward
IsjLPuP9^^2020-07-22|Kinondoni MC|Tanzania Prisons|0-1^^75~A~G~ibata-ramadhani
zJpQOavG^^2020-07-22|Mbao|Namungo|3-0^^3~H~G~john-jordan;14~H~G~john-jordan;24~H~G~segeja-abdulkarim
viiHQL93^^2020-07-22|Mtibwa Sugar|Young Africans|1-1^^28~H~G~chanongo-haruna;83~A~G~saleh-adeyum
pUiDR1fc^^2020-07-22|Mwadui|Biashara Mara United|1-0^^90+4~H~G~chambenga-mussa
ULNSJkyi^^2020-07-19|JKT Tanzania|Mbao|1-1^^45~H~G~nchimbi-frank;58~A~G~segeja-abdulkarim
jVOOKVLp^^2020-07-19|Lipuli|Azam|1-1^^44~A~G~kheri-abdalla;80~H~G~materaz-paul
